id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
1,"[만만셰] 꽁치로 만드는 뜨끈한 추어탕, 꽁치시래기추어탕 by.승혜의야미로그",4,0,2023-11-15 00:00:00.000001,2023-11-15 00:00:00.000001,한식,일상,생선,2
2,고기와 두부가 함께 들어가 육수가 따로 필요 없어요. 두부된장짜글이,3,0,2023-10-23 00:00:00.000001,2023-10-23 00:00:00.000001,한식,일상,콩/견과류,2
3,"고기가 없는 동그랑땡 담백하고 느끼하지 않아요, 버섯두부동그랑땡",4,0,2023-09-26 00:00:00.000001,2023-09-26 00:00:00.000001,한식,술안주,채소,2
9,[TV요리] 어남선생의 15분닭갈비 황금레시피&콘치즈,4,0,2020-08-17 00:00:00.000001,2020-08-17 00:00:00.000001,한식,원팬/스피디,닭고기,2
27,오늘 저녁은 채식위주로??? 에어프라이어표 버섯채소구이,3,0,2019-08-27 00:00:00.000001,2019-08-27 00:00:00.000001,한식,다이어트,채소,2
37,"간단하게 만드는 밥도둑, 팽이버섯두부조림",2,0,2023-06-05 00:00:00.000001,2023-06-05 00:00:00.000001,한식,원팬/스피디,채소,2
42,감칠맛과 포만감 모두 잡은 한끼메뉴! 명란두부배추롤,1,0,2023-08-14 00:00:00.000001,2023-08-14 00:00:00.000001,한식,다이어트,해물,2
43,냉이와 찰떡궁합인 음식은 된장이래요! 냉이된장국,3,0,2023-03-21 00:00:00.000001,2023-03-21 00:00:00.000001,한식,일상,채소,2
44,[만개백과] 반찬만들기 귀찮을 때 한끼 뚝딱! 김치볶음밥,1,0,2023-03-13 00:00:00.000001,2023-03-13 00:00:00.000001,한식,일상,쌀,2
52,대만 유명샌드위치 홍루이젠 편의점 재료로 만들어보기!,1,0,2018-12-04 00:00:00.000001,2018-12-04 00:00:00.000001,기타,디저트,밀가루,2
61,유린기소스와 만두의 만남  유린만두,2,0,2019-07-23 00:00:00.000001,2019-07-23 00:00:00.000001,기타,일상,닭고기,2
73,버터치킨커리로 인도까지,2,0,2019-04-07 00:00:00.000001,2019-04-07 00:00:00.000001,기타,일상,닭고기,2
79,어향소스를 올린 가지롤 튀김,2,0,2023-09-05 00:00:00.000001,2023-09-05 00:00:00.000001,기타,술안주,채소,2
80,다양한 풍미로 입맛을 살려주는 사천닭냉채,2,0,2023-06-08 00:00:00.000001,2023-06-08 00:00:00.000001,기타,일상,닭고기,2
81,시원하고 해물이 푸짐한 중국집 삼선우동,1,0,2023-05-19 00:00:00.000001,2023-05-19 00:00:00.000001,기타,일상,면,2
87,이연복의 멘보샤만 있던가??? 만개표 에어프라이어 멘보샤가 있지~!,3,0,2019-08-30 00:00:00.000001,2019-08-30 00:00:00.000001,기타,원팬/스피디,해물,2
90,동남아 여행 온 기분!! 파인애플볶음밥,1,0,2017-07-19 00:00:00.000001,2017-07-19 00:00:00.000001,기타,일상,쌀,2
95,팽이버섯만 있으면 중화풍 팽이버섯덮밥,2,0,2019-04-24 00:00:00.000001,2019-04-24 00:00:00.000001,기타,일상,쌀,2
100,와장창! 실패없이 다양한 과일탕후루 만들기,6,0,2020-03-13 00:00:00.000001,2020-03-13 00:00:00.000001,기타,디저트,기타,2
119,일본 안가도 먹을 수 있는 방법이 있지! 집에서 만나는 오코노미야키,2,0,2016-04-14 00:00:00.000001,2016-04-14 00:00:00.000001,일식,술안주,밀가루,2
4,맛집 사장님이 알려 주는 식당에서 사 먹는 차돌된장찌개 집에서 끓이는 법,1,0,2022-05-04 00:00:00.000001,2022-05-04 00:00:00.000001,한식,일상,돼지고기,3
